Cladonia norvegica
Cladonia novochlorophaea
Cladonia ochrochlora
Cladonia parasitica
Cladonia peziziformis
Cladonia phyllophora
Cladonia pityrea
Cladonia pleurota
Cladonia pocillum
Cladonia polycarpoides
Cladonia polydactyla
Cladonia portentosa
Cladonia prolifica
Cladonia pseudopityrea
Cladonia pulvinella
Cladonia pyxidata
Cladonia ramulosa
Cladonia rangiferina
Cladonia rangiformis
Cladonia rei
Cladonia scabriuscula
Cladonia spp.
Cladonia squamosa
Cladonia stellaris
Cladonia strepsilis
Cladonia stygia
Cladonia subcariosa
Cladonia subcervicornis
Cladonia subfurcata
Cladonia subrangiformis
Cladonia subturgida
Cladonia subulata
Cladonia sulphurina
Cladonia symphycarpia
Cladonia turgida
Cladonia uncialis
Cladonia verticillata
Cladonia zopfii
Clamator glandarius
Clangula hyemalis
Clemmys caspica
Clethrionomys glareolus
Clossiana improba
Clupea harengus
Clupeonella cultriventris
Cobitis arachthosensis
Cobitis aurata
Cobitis bilineata
Cobitis calderoni
Cobitis conspersa
Cobitis elongata
Cobitis elongatoides
Cobitis hassi
Cobitis hellenica
Cobitis larvata
Cobitis meridionalis
Cobitis ohridana
Cobitis paludica
Cobitis paludicola
Cobitis pontica
Cobitis puncticulata
Cobitis punctilineata
Cobitis stephanidisi
Cobitis strumicae
Cobitis taenia
Cobitis tanaitica
Cobitis trichonica
Cobitis vardarensis
Cobitis vettonica
Cobitis zanandreai
Coccothraustes coccothraustes
Coccyzus americanus
Cochlearia polonica
Cochlearia tatrae
Coelorhynchus coelorhynchus
Coenagrion hylas
Coenagrion mercuriale
Coenagrion ornatum
Coenonympha hero
Coenonympha oedippus
Coincya cintrana
Coincya rupestris
Colchicum arenarium
Colchicum corsicum
Colchicum cousturieri
Colchicum davidovii
Colchicum fominii
Colchicum micranthum
Colchicum neapolitanum
Coleanthus subtilis
Colias myrmidone
Coluber algirus
Coluber caspius
Coluber cypriensis
Coluber gemonensis
Coluber hippocrepis
Coluber jugularis
Coluber laurenti
Coluber najadum
Coluber nummifer
Coluber ravergieri
Coluber rubriceps
Coluber schmidti
Coluber viridiflavus
Columba bollii
Columba junoniae
Columba livia
Columba oenas
Columba palumbus
Columba trocaz
Comperia comperiana
Conger conger
Congeria kusceri
Consolida samia
Convolvulus argyrothamnus
Convolvulus caput-medusae
Convolvulus fernandesii
Convolvulus lopez-socasii
Convolvulus massonii
Convolvulus pulvinatus
Coracias garrulus
Corallium rubrum
Cordulegaster heros
Cordulegaster trinacriae
Coregonus albula
Coregonus arenicolus
Coregonus atterensis
Coregonus austriacus
Coregonus autumnalis
Coregonus bavaricus
Coregonus bezola
Coregonus candidus
Coregonus clupeoides
Coregonus danneri
Coregonus duplex
Coregonus fera
Coregonus fontanae
Coregonus gutturosus
Coregonus hiemalis
Coregonus hoferi
Coregonus kiletz
Coregonus lavaretus
Coregonus lucinensis
Coregonus macrophthalmus
Coregonus maraena
Coregonus maraenoides
Coregonus maxillaris
Coregonus megalops
Coregonus muksun
Coregonus nasus
Coregonus nilssoni
Coregonus oxyrhynchus
Coregonus pallasii
Coregonus peled
Coregonus pennantii
Coregonus pidschian
Coregonus pollan
Coregonus renke
Coregonus stigmaticus
Coregonus trybomi
Coregonus tugun
Coregonus vandesius
Coregonus vessicus
Coregonus wartmanni
Coregonus widegreni
Coris julis
Coronella austriaca
Coronella girondica
Coronopus navasii
Corticaria planula
Corvus corax
Corvus cornix
Corvus corone
Corvus frugilegus
Corvus monedula
Corydalis gotlandica
Coryphaenoides rupestris
Coryphoblennius galerita
Cottus ferruginosus
Cottus gobio
Cottus haemusi
Cottus hispaniolensis
Cottus microstomus
Cottus petiti
Cottus poecilopus
Coturnix coturnix
Crambe arborea
Crambe koktebelica
Crambe laevigata
Crambe litwinonowii
Crambe scoparia
Crambe sventenii
Crambe tataria
Crataegus dikmensis
Cremnophyton lanfrancoi
